_id,startTime,endTime,instrument,instrument_id,ins_id_ex
65868f78f30b23a817da9ed6,2023-06-27,2023-07-21,AL,AL2308,al2308
65868f78f30b23a817da9ed7,2023-07-24,2023-08-23,AL,AL2309,al2309
65868f78f30b23a817da9ed8,2023-08-24,2023-09-22,AL,AL2310,al2310
65868f78f30b23a817da9ed9,2023-09-25,2023-10-23,AL,AL2311,al2311
65868f78f30b23a817da9eda,2023-10-24,2023-11-20,AL,AL2312,al2312
65868f78f30b23a817da9edb,2023-11-21,2023-12-19,AL,AL2401,al2401
65868f78f30b23a817da9edc,2023-12-20,2024-01-08,AL,AL2402,al2402
65868f78f30b23a817da9edd,2017-12-22,2018-04-11,AP,AP1805,AP805
65868f78f30b23a817da9ede,2018-04-12,2018-07-17,AP,AP1810,AP810
65868f78f30b23a817da9edf,2018-07-18,2018-11-08,AP,AP1901,AP901
65868f78f30b23a817da9ee0,2018-11-09,2019-04-15,AP,AP1905,AP905
65868f78f30b23a817da9ee1,2019-04-16,2019-09-12,AP,AP1910,AP910
65868f78f30b23a817da9ee2,2019-09-16,2019-12-17,AP,AP2001,AP001
65868f78f30b23a817da9ee3,2019-12-18,2020-04-20,AP,AP2005,AP005
65868f78f30b23a817da9ee4,2020-04-21,2020-09-15,AP,AP2010,AP010
65868f78f30b23a817da9ee5,2020-09-16,2020-12-15,AP,AP2101,AP101
65868f78f30b23a817da9ee6,2020-12-16,2021-03-26,AP,AP2105,AP105
65868f78f30b23a817da9ee7,2021-03-29,2021-08-27,AP,AP2110,AP110
65868f78f30b23a817da9ee8,2021-08-30,2021-12-15,AP,AP2201,AP201
65868f78f30b23a817da9ee9,2021-12-16,2022-03-29,AP,AP2205,AP205
65868f78f30b23a817da9eea,2022-03-30,2022-09-05,AP,AP2210,AP210
65868f78f30b23a817da9eeb,2022-09-06,2022-12-13,AP,AP2301,AP301
65868f78f30b23a817da9eec,2022-12-14,2023-04-13,AP,AP2305,AP305
65868f78f30b23a817da9eed,2023-04-14,2023-09-01,AP,AP2310,AP310
65868f78f30b23a817da9eee,2023-09-04,2023-12-04,AP,AP2401,AP401
65868f78f30b23a817da9eef,2023-12-05,2024-04-12,AP,AP2405,AP405
65868f78f30b23a817da9efb,2015-05-12,2015-11-11,AU,AU1512,au1512
65868f78f30b23a817da9efc,2015-11-12,2016-05-03,AU,AU1606,au1606
65868f78f30b23a817da9efd,2016-05-04,2016-11-08,AU,AU1612,au1612
65868f78f30b23a817da9efe,2016-11-09,2017-05-02,AU,AU1706,au1706
65868f78f30b23a817da9eff,2017-05-03,2017-11-10,AU,AU1712,au1712
65868f78f30b23a817da9f00,2017-11-13,2018-05-02,AU,AU1806,au1806
65868f78f30b23a817da9f01,2018-05-03,2018-11-08,AU,AU1812,au1812
65868f78f30b23a817da9f02,2018-11-09,2019-04-30,AU,AU1906,au1906
65868f78f30b23a817da9f03,2019-05-06,2019-11-13,AU,AU1912,au1912
65868f78f30b23a817da9f04,2019-11-14,2020-05-07,AU,AU2006,au2006
65868f78f30b23a817da9f05,2020-05-08,2020-11-23,AU,AU2012,au2012
65868f78f30b23a817da9f06,2020-11-24,2021-05-18,AU,AU2106,au2106
65868f78f30b23a817da9f07,2021-05-19,2021-11-23,AU,AU2112,au2112
65868f78f30b23a817da9f08,2021-11-24,2021-12-28,AU,AU2202,au2202
65868f78f30b23a817da9f09,2021-12-29,2022-05-20,AU,AU2206,au2206
65868f78f30b23a817da9f0a,2022-05-23,2022-11-03,AU,AU2212,au2212
65868f78f30b23a817da9f0b,2022-11-04,2022-12-26,AU,AU2302,au2302
65868f78f30b23a817da9f0c,2022-12-27,2023-02-28,AU,AU2304,au2304
65868f78f30b23a817da9f0d,2023-03-01,2023-04-20,AU,AU2306,au2306
65868f78f30b23a817da9f0e,2023-04-21,2023-06-28,AU,AU2308,au2308
65868f78f30b23a817da9f0f,2023-06-29,2023-08-29,AU,AU2310,au2310
65868f78f30b23a817da9f10,2023-08-30,2023-10-26,AU,AU2312,au2312
65868f78f30b23a817da9f11,2023-10-27,2023-12-29,AU,AU2402,au2402
65868f78f30b23a817da9f16,2014-12-11,2015-06-02,BU,BU1506,bu1506
65868f78f30b23a817da9f17,2015-06-03,2015-08-24,BU,BU1509,bu1509
65868f78f30b23a817da9f18,2015-08-25,2015-11-25,BU,BU1512,bu1512
65868f78f30b23a817da9f19,2015-11-26,2015-12-21,BU,BU1601,bu1601
65868f78f30b23a817da9f1a,2015-12-22,2016-04-11,BU,BU1606,bu1606
65868f78f30b23a817da9f1b,2016-04-12,2016-08-02,BU,BU1609,bu1609
65868f78f30b23a817da9f1c,2016-08-03,2016-11-10,BU,BU1612,bu1612
65868f78f30b23a817da9f1d,2016-11-11,2017-04-25,BU,BU1706,bu1706
65868f78f30b23a817da9f1e,2017-04-26,2017-08-02,BU,BU1709,bu1709
65868f78f30b23a817da9f1f,2017-08-03,2017-11-21,BU,BU1712,bu1712
65868f78f30b23a817da9f20,2017-11-22,2018-05-03,BU,BU1806,bu1806
65868f78f30b23a817da9f21,2018-05-04,2018-11-22,BU,BU1812,bu1812
65868f78f30b23a817da9f22,2018-11-23,2019-04-30,BU,BU1906,bu1906
65868f78f30b23a817da9f23,2019-05-06,2019-11-27,BU,BU1912,bu1912
65868f78f30b23a817da9f24,2019-11-28,2020-05-07,BU,BU2006,bu2006
65868f78f30b23a817da9f25,2020-05-08,2020-11-26,BU,BU2012,bu2012
65868f78f30b23a817da9f26,2020-11-27,2021-05-20,BU,BU2106,bu2106
65868f78f30b23a817da9f27,2021-05-21,2021-08-11,BU,BU2109,bu2109
65868f78f30b23a817da9f28,2021-08-12,2021-11-23,BU,BU2112,bu2112
65868f78f30b23a817da9f29,2021-11-24,2022-05-06,BU,BU2206,bu2206
65868f78f30b23a817da9f2a,2022-05-09,2022-08-01,BU,BU2209,bu2209
65868f78f30b23a817da9f2b,2022-08-02,2022-11-02,BU,BU2212,bu2212
65868f78f30b23a817da9f2c,2022-11-03,2022-11-29,BU,BU2301,bu2301
65868f78f30b23a817da9f2d,2022-11-30,2023-04-20,BU,BU2306,bu2306
65868f78f30b23a817da9f2e,2023-04-21,2023-05-04,BU,BU2307,bu2307
65868f78f30b23a817da9f2f,2023-05-05,2023-06-09,BU,BU2308,bu2308
65868f78f30b23a817da9f30,2023-06-12,2023-08-10,BU,BU2310,bu2310
65868f78f30b23a817da9f31,2023-08-11,2023-10-09,BU,BU2311,bu2311
65868f78f30b23a817da9f32,2023-10-10,2023-11-16,BU,BU2401,bu2401
65868f78f30b23a817da9f33,2023-11-17,2023-11-30,BU,BU2402,bu2402
65868f78f30b23a817da9f34,2023-12-01,2024-01-26,BU,BU2403,bu2403
65868f78f30b23a817da9f35,2010-01-04,2010-06-23,C,C1009,c1009
65868f78f30b23a817da9f36,2010-06-24,2010-08-27,C,C1101,c1101
65868f78f30b23a817da9f37,2010-08-30,2010-11-15,C,C1105,c1105
65868f78f30b23a817da9f38,2010-11-16,2011-05-23,C,C1109,c1109
65868f78f30b23a817da9f39,2011-05-24,2011-08-09,C,C1201,c1201
65868f78f30b23a817da9f3a,2011-08-10,2011-12-09,C,C1205,c1205
65868f78f30b23a817da9f3b,2011-12-12,2012-07-09,C,C1209,c1209
65868f78f30b23a817da9f3c,2012-07-10,2012-10-24,C,C1301,c1301
65868f78f30b23a817da9f3d,2012-10-25,2013-02-18,C,C1305,c1305
65868f78f30b23a817da9f3e,2013-02-19,2013-07-05,C,C1309,c1309
65868f78f30b23a817da9f3f,2013-07-08,2013-10-16,C,C1401,c1401
65868f78f30b23a817da9f40,2013-10-17,2014-03-27,C,C1405,c1405
65868f78f30b23a817da9f41,2014-03-28,2014-07-14,C,C1409,c1409
65868f78f30b23a817da9f42,2014-07-15,2014-10-13,C,C1501,c1501
65868f78f30b23a817da9f43,2014-10-14,2015-01-27,C,C1505,c1505
65868f78f30b23a817da9f44,2015-01-28,2015-07-27,C,C1509,c1509
65868f78f30b23a817da9f45,2015-07-28,2015-09-09,C,C1601,c1601
65868f78f30b23a817da9f46,2015-09-10,2016-02-22,C,C1605,c1605
65868f78f30b23a817da9f47,2016-02-23,2016-03-28,C,C1609,c1609
65868f78f30b23a817da9f48,2016-03-29,2016-11-14,C,C1701,c1701
65868f78f30b23a817da9f49,2016-11-15,2017-03-09,C,C1705,c1705
